Learner_ID,Learner_Segment,Current_Plan,Current_Fee,Completion_Rate,Weekly_Hours,Last_Login_Days,Renewed_Last_Cycle,Recommended_Action,Recommended_Discount_Pct,Reason
L00001,Career Switcher,Standard,599,1,5.7,2,Y,Referral Program Candidate,0,Highly active (logged in 2 day(s) ago) with 100.0% completion - strong advocate potential
L00002,Casual Learner,Basic,299,0.33,3.2,74,N,High Churn Risk - Win-Back Offer,20,Inactive for 74 days and did not renew last cycle
L00003,Working Professional,Pro,999,0.6,6.8,12,Y,Loyalty Reward (Free Month / 10% Off Renewal),10,Working Professional loyal for 12 months with consistent renewals
L00004,College Student,Pro,999,0.67,4.7,40,N,Verify Extended Student Eligibility,0,Age 19 on Pro - confirm still eligible for extended student pricing
L00005,College Student,Standard,599,0.5,8.9,35,N,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00006,Casual Learner,Basic,299,0.29,3.6,47,N,Renewal Reminder,0,No login in 47 days
L00007,College Student,Pro,999,0.54,4.5,32,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00008,Working Professional,Premium,1499,0.77,8.1,17,Y,Recommend Premium,0,Working Professional averaging 8.1 hrs/week with 77.0% completion
L00009,Working Professional,Pro,999,0.75,9.2,20,Y,Recommend Premium,0,Working Professional averaging 9.2 hrs/week with 75.0% completion
L00010,College Student,Basic,299,0.69,8.6,31,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00011,Certification Seeker,Pro,999,0.88,8,14,Y,Recommend Pro (Certification Value),0,Certification Seeker with 88.0% completion - values credentialing
L00012,College Student,Standard,599,0.5,3.6,21,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00013,Working Professional,Basic,299,1,6.1,14,Y,Recommend Premium,0,Working Professional averaging 6.1 hrs/week with 100.0% completion
L00014,Working Professional,Standard,599,0.71,4.8,8,Y,Recommend Premium (Power Usage),0,Completed 10 courses - power usage on a non-Premium plan
L00015,Power Learner,Pro,999,1,14.8,0,Y,Recommend Premium,0,Power Learner with 100.0% completion rate
L00016,Casual Learner,Basic,299,0.17,1.3,89,N,High Churn Risk - Win-Back Offer,20,Inactive for 89 days and did not renew last cycle
L00017,College Student,Standard,599,1,4.8,15,N,Offer Loyalty Discount (10%),10,"Engaged (100.0% completion) but did not renew - likely a price objection, not a satisfaction issue"
L00018,College Student,Basic,299,0.46,6.7,29,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00019,Career Switcher,Pro,999,0.67,11.5,7,Y,Recommend Pro,0,Career Switcher investing 11.5 hrs/week - high intent to reskill
L00020,Career Switcher,Standard,599,0.5,10.2,8,Y,Recommend Pro,0,Career Switcher investing 10.2 hrs/week - high intent to reskill
L00021,College Student,Standard,599,0.67,2,40,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00022,Power Learner,Premium,1499,0.83,15.5,1,Y,Recommend Premium,0,Power Learner with 83.0% completion rate
L00023,College Student,Premium,1499,0.77,3.1,10,Y,Student Discount (15%),15,College Student with strong 77.0% completion - budget-sensitive segment
L00024,Working Professional,Standard,599,0.64,4.6,15,N,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (64.0% completion, 4.6 hrs/week) - no action needed yet"
L00025,Certification Seeker,Standard,599,0.86,7.3,11,Y,Recommend Pro (Certification Value),0,Certification Seeker with 86.0% completion - values credentialing
L00026,Power Learner,Pro,999,0.89,13.5,3,Y,Recommend Premium,0,Power Learner with 89.0% completion rate
L00027,Working Professional,Standard,599,0.64,9.7,19,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00028,Casual Learner,Basic,299,0.21,2.9,58,N,CS Outreach Before Upsell,0,High support ticket volume (5) needs resolution first
L00029,Working Professional,Pro,999,0.73,5,9,Y,Loyalty Reward (Free Month / 10% Off Renewal),10,Working Professional loyal for 12 months with consistent renewals
L00030,College Student,Basic,299,0.55,6.3,29,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00031,College Student,Standard,599,0.25,3.2,29,Y,CS Outreach Before Upsell,0,High support ticket volume (4) needs resolution first
L00032,Working Professional,Premium,1499,0.78,7.7,13,Y,Recommend Premium,0,Working Professional averaging 7.7 hrs/week with 78.0% completion
L00033,Casual Learner,Basic,299,0.17,2,56,N,Renewal Reminder,0,No login in 56 days
L00034,Casual Learner,Basic,299,0.14,2.4,27,Y,CS Outreach Before Upsell,0,High support ticket volume (5) needs resolution first
L00035,College Student,Pro,999,0.75,5.8,38,Y,Student Discount (15%),15,College Student with strong 75.0% completion - budget-sensitive segment
L00036,Career Switcher,Premium,1499,0.57,8.7,0,Y,Recommend Pro,0,Career Switcher investing 8.7 hrs/week - high intent to reskill
L00037,College Student,Basic,299,0.33,3.8,30,N,Do Not Extend Discount Next Cycle,0,Received 29% discount but only 33.0% completion - discount not driving engagement
L00038,Career Switcher,Pro,999,0.7,6.1,15,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00039,College Student,Pro,999,0.57,6.1,36,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00040,Casual Learner,Standard,599,0.17,3.2,88,N,CS Outreach Before Upsell,20,High support ticket volume (4) needs resolution first
L00041,College Student,Basic,299,0.6,5.7,17,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (60.0% completion, 5.7 hrs/week) - no action needed yet"
L00042,College Student,Basic,299,0.5,6,24,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00043,Casual Learner,Basic,299,0.38,3.8,50,N,CS Outreach Before Upsell,0,High support ticket volume (4) needs resolution first
L00044,Working Professional,Standard,599,0.67,5.5,15,Y,Loyalty Reward (Free Month / 10% Off Renewal),10,Working Professional loyal for 12 months with consistent renewals
L00045,College Student,Standard,599,0.42,2.8,11,N,Do Not Extend Discount Next Cycle,0,Received 24% discount but only 42.0% completion - discount not driving engagement
L00046,Working Professional,Basic,299,0.75,4.8,1,N,Offer Loyalty Discount (10%),10,"Engaged (75.0% completion) but did not renew - likely a price objection, not a satisfaction issue"
L00047,Career Switcher,Standard,599,0.71,6.8,3,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00048,Career Switcher,Standard,599,0.71,9.2,7,N,Recommend Pro,10,Career Switcher investing 9.2 hrs/week - high intent to reskill
L00049,Power Learner,Premium,1499,0.67,16.3,0,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00050,Casual Learner,Basic,299,0.33,1.5,29,Y,CS Outreach Before Upsell,0,High support ticket volume (4) needs resolution first
L00051,College Student,Basic,299,0.75,7.5,36,Y,Recommend Upgrade to Standard,15,On Basic but logging in 13x/month with 75.0% completion
L00052,Working Professional,Premium,1499,0.55,5.9,0,Y,Loyalty Reward (Free Month / 10% Off Renewal),10,Working Professional loyal for 12 months with consistent renewals
L00053,Casual Learner,Pro,999,0.5,4,82,N,High Churn Risk - Win-Back Offer,20,Inactive for 82 days and did not renew last cycle
L00054,Casual Learner,Basic,299,0.43,1.4,71,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00055,Working Professional,Pro,999,0.67,5.6,9,N,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (67.0% completion, 5.6 hrs/week) - no action needed yet"
L00056,Working Professional,Basic,299,0.75,6.8,20,Y,Recommend Premium,0,Working Professional averaging 6.8 hrs/week with 75.0% completion
L00057,Working Professional,Pro,999,0.8,5.1,4,N,Offer Loyalty Discount (10%),10,"Engaged (80.0% completion) but did not renew - likely a price objection, not a satisfaction issue"
L00058,Working Professional,Pro,999,0.62,10,4,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00059,Certification Seeker,Pro,999,0.86,3.2,22,N,Recommend Pro (Certification Value),10,Certification Seeker with 86.0% completion - values credentialing
L00060,College Student,Pro,999,0.57,2.7,0,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00061,Power Learner,Premium,1499,0.87,18.6,2,Y,Recommend Premium,0,Power Learner with 87.0% completion rate
L00062,Casual Learner,Basic,299,0.25,3.2,32,Y,Low-Intent Discount User - No Further Discount,0,"Coupon user with low 25.0% completion - signals low intent, not price sensitivity"
L00063,Working Professional,Pro,999,0.8,5,19,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00064,Career Switcher,Premium,1499,0.5,11.3,5,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00065,Working Professional,Premium,1499,0.67,5.4,18,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (67.0% completion, 5.4 hrs/week) - no action needed yet"
L00066,Certification Seeker,Pro,999,0.8,6,7,N,Offer Loyalty Discount (10%),10,"Engaged (80.0% completion) but did not renew - likely a price objection, not a satisfaction issue"
L00067,Career Switcher,Pro,999,0.67,5.9,10,N,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (67.0% completion, 5.9 hrs/week) - no action needed yet"
L00068,College Student,Standard,599,0.67,8.7,14,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00069,Working Professional,Pro,999,0.64,8.5,18,Y,Loyalty Reward (Free Month / 10% Off Renewal),10,Working Professional loyal for 11 months with consistent renewals
L00070,Career Switcher,Pro,999,1,10.8,13,Y,Recommend Pro,0,Career Switcher investing 10.8 hrs/week - high intent to reskill
L00071,College Student,Standard,599,0.58,8.6,26,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00072,Certification Seeker,Standard,599,0.83,7.8,3,Y,Recommend Pro (Certification Value),0,Certification Seeker with 83.0% completion - values credentialing
L00073,College Student,Standard,599,0.75,6.5,3,Y,Student Discount (15%),15,College Student with strong 75.0% completion - budget-sensitive segment
L00074,Career Switcher,Pro,999,0.69,5,4,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (69.0% completion, 5 hrs/week) - no action needed yet"
L00075,Casual Learner,Basic,299,0.25,0.7,73,N,CS Outreach Before Upsell,20,High support ticket volume (5) needs resolution first
L00076,Working Professional,Pro,999,1,7.1,20,Y,Recommend Premium,10,Working Professional averaging 7.1 hrs/week with 100.0% completion
L00077,Working Professional,Standard,599,0.78,4.4,19,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00078,Career Switcher,Pro,999,0.5,7.9,12,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00079,College Student,Standard,599,0.6,5,8,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (60.0% completion, 5 hrs/week) - no action needed yet"
L00080,Certification Seeker,Pro,999,0.62,3.5,6,N,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (62.0% completion, 3.5 hrs/week) - no action needed yet"
L00081,Working Professional,Pro,999,0.73,9.8,0,Y,Recommend Premium,10,Working Professional averaging 9.8 hrs/week with 73.0% completion
L00082,Casual Learner,Basic,299,0.18,2.5,28,Y,CS Outreach Before Upsell,0,High support ticket volume (5) needs resolution first
L00083,Working Professional,Standard,599,0.62,8.7,1,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00084,Working Professional,Standard,599,0.64,4.7,3,Y,Loyalty Reward (Free Month / 10% Off Renewal),10,Working Professional loyal for 9 months with consistent renewals
L00085,Power Learner,Pro,999,1,17.7,2,Y,Recommend Premium,0,Power Learner with 100.0% completion rate
L00086,Career Switcher,Basic,299,0.79,5.3,14,Y,Recommend Premium (Power Usage),0,Completed 11 courses - power usage on a non-Premium plan
L00087,Working Professional,Premium,1499,0.57,8.8,11,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00088,Working Professional,Pro,999,0.73,7.1,16,Y,Recommend Premium (Power Usage),0,Completed 11 courses - power usage on a non-Premium plan
L00089,College Student,Standard,599,0.5,2.5,31,N,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00090,Career Switcher,Pro,999,0.5,7.1,1,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00091,Certification Seeker,Standard,599,0.9,7.8,14,Y,Recommend Pro (Certification Value),0,Certification Seeker with 90.0% completion - values credentialing
L00092,Power Learner,Premium,1499,0.75,15,0,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00093,Working Professional,Pro,999,0.71,6,3,Y,Loyalty Reward (Free Month / 10% Off Renewal),10,Working Professional loyal for 11 months with consistent renewals
L00094,Career Switcher,Standard,599,0.67,11.6,12,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00095,College Student,Basic,299,0.36,3.3,9,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00096,Career Switcher,Standard,599,0.5,10.4,14,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00097,Casual Learner,Basic,299,0.2,3.9,44,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00098,Working Professional,Pro,999,0.67,9.2,20,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00099,Casual Learner,Standard,599,0.4,3.8,77,N,High Churn Risk - Win-Back Offer,20,Inactive for 77 days and did not renew last cycle
L00100,College Student,Pro,999,0.33,6.5,8,Y,CS Outreach Before Upsell,0,High support ticket volume (4) needs resolution first
L00101,College Student,Basic,299,0.54,5.8,33,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (54.0% completion, 5.8 hrs/week) - no action needed yet"
L00102,Casual Learner,Standard,599,0.33,2.6,85,N,High Churn Risk - Win-Back Offer,20,Inactive for 85 days and did not renew last cycle
L00103,College Student,Basic,299,0.36,5.8,35,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00104,Working Professional,Pro,999,0.56,4.6,4,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00105,Working Professional,Pro,999,0.8,4.2,1,Y,Recommend Premium (Power Usage),0,Completed 12 courses - power usage on a non-Premium plan
L00106,Casual Learner,Standard,599,0.17,3.5,54,N,CS Outreach Before Upsell,0,High support ticket volume (4) needs resolution first
L00107,College Student,Pro,999,0.4,3.9,27,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (40.0% completion, 3.9 hrs/week) - no action needed yet"
L00108,College Student,Basic,299,0.5,5,22,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00109,Power Learner,Pro,999,0.91,16.8,1,Y,Recommend Premium,0,Power Learner with 91.0% completion rate
