Learner_ID,Age,Profession,Region,Learner_Segment,Subscription_Plan,Monthly_Fee,Months_Active,Courses_Enrolled,Courses_Completed,Completion_Rate,Weekly_Hours,Login_Frequency,Last_Login_Days,Coupon_Used,Discount_Availed,Payment_Mode,Support_Tickets,Renewed_Last_Cycle
L00001,25,Ex-Marketer,Hyderabad,Career Switcher,Standard,599,12,1,1,1.0,5.7,16,2,Y,7,UPI,0,Y
L00002,31,Freelancer,Jaipur,Casual Learner,Basic,299,1,3,1,0.33,3.2,2,74,Y,25,UPI,1,N
L00003,29,HR Executive,Pune,Working Professional,Pro,999,12,5,3,0.6,6.8,9,12,N,0,Netbanking,1,Y
L00004,19,Student,Bengaluru,College Student,Pro,999,2,3,2,0.67,4.7,11,40,Y,14,Netbanking,0,N
L00005,23,Student,Delhi NCR,College Student,Standard,599,5,6,3,0.5,8.9,14,35,N,0,UPI,1,N
L00006,30,Student,Bengaluru,Casual Learner,Basic,299,10,7,2,0.29,3.6,3,47,N,0,Wallet,2,N
L00007,22,Student,Ahmedabad,College Student,Pro,999,7,13,7,0.54,4.5,6,32,Y,12,Card,3,N
L00008,33,Sales Executive,Pune,Working Professional,Premium,1499,1,13,10,0.77,8.1,9,17,N,0,UPI,1,Y
L00009,35,Data Analyst,Delhi NCR,Working Professional,Pro,999,2,4,3,0.75,9.2,12,20,Y,13,UPI,1,Y
L00010,20,Student,Hyderabad,College Student,Basic,299,10,13,9,0.69,8.6,5,31,Y,13,Wallet,1,Y
L00011,35,Consultant,Hyderabad,Certification Seeker,Pro,999,7,8,7,0.88,8.0,11,14,Y,7,Netbanking,0,Y
L00012,19,Student,Bengaluru,College Student,Standard,599,1,4,2,0.5,3.6,4,21,Y,20,Card,3,Y
L00013,30,Marketing Executive,Bengaluru,Working Professional,Basic,299,7,1,1,1.0,6.1,14,14,N,0,UPI,0,Y
L00014,25,Marketing Executive,Hyderabad,Working Professional,Standard,599,8,14,10,0.71,4.8,10,8,N,0,Wallet,0,Y
L00015,20,Software Engineer,Hyderabad,Power Learner,Pro,999,8,1,1,1.0,14.8,26,0,N,0,Netbanking,1,Y
L00016,41,Part-time Worker,Jaipur,Casual Learner,Basic,299,5,6,1,0.17,1.3,1,89,Y,22,Card,1,N
L00017,19,Student,Bengaluru,College Student,Standard,599,4,1,1,1.0,4.8,13,15,N,0,Wallet,1,N
L00018,23,Student,Hyderabad,College Student,Basic,299,3,13,6,0.46,6.7,8,29,N,0,UPI,3,N
L00019,28,Ex-Teacher,Hyderabad,Career Switcher,Pro,999,3,3,2,0.67,11.5,9,7,N,0,Netbanking,0,Y
L00020,28,Ex-Banker,Pune,Career Switcher,Standard,599,2,4,2,0.5,10.2,10,8,N,0,Card,2,Y
L00021,18,Student,Ahmedabad,College Student,Standard,599,1,3,2,0.67,2.0,6,40,N,0,Wallet,0,Y
L00022,42,Data Scientist,Mumbai,Power Learner,Premium,1499,10,6,5,0.83,15.5,26,1,N,0,UPI,1,Y
L00023,18,Student,Ahmedabad,College Student,Premium,1499,12,13,10,0.77,3.1,7,10,Y,18,Card,1,Y
L00024,34,Marketing Executive,Pune,Working Professional,Standard,599,12,14,9,0.64,4.6,8,15,N,0,Netbanking,2,N
L00025,29,Software Engineer,Hyderabad,Certification Seeker,Standard,599,5,7,6,0.86,7.3,10,11,N,0,Netbanking,0,Y
L00026,25,Consultant,Mumbai,Power Learner,Pro,999,7,9,8,0.89,13.5,25,3,Y,14,Card,1,Y
L00027,32,HR Executive,Hyderabad,Working Professional,Standard,599,2,14,9,0.64,9.7,13,19,Y,14,Netbanking,3,Y
L00028,35,Freelancer,Hyderabad,Casual Learner,Basic,299,7,14,3,0.21,2.9,2,58,Y,16,Wallet,5,N
L00029,31,Sales Executive,Hyderabad,Working Professional,Pro,999,12,11,8,0.73,5.0,9,9,N,0,UPI,0,Y
